answer,question
Chaperone (protein),Molecular chaperones are proteins which help large molecules fold or unfold. Some help assemble or take apart other macromolecular structures. They do not occur in these structures when the structures go about their normal functions.
Bulk modulus,"The bulk modulus (letter K) is a measure of the resistance of a substance to compression on all sides. Gases are easily compressed, while solids and liquid are only compressed with difficulty. It is measured by a measuring instrument when another object is placed under pressure."
Epoxide,"In organic chemistry, an epoxide is a molecule that has a ring with at least three atoms in total, two carbon atoms and one oxygen atom. These three atoms are bonded, or stuck together, in a small ring. The ring of atoms is shaped like a triangle, with all edges of the same length. Because of this small ring, an epoxide is very reactive."
Hydrazine,"Hydrazine, also known as diazine, is a chemical compound. It is composed of nitrogen and hydrogen ions. Its chemical formula is N2H4. It contains hydrogen in its +1 and nitrogen in its -2 oxidation state."
Ring (mathematics),":This article is about a mathematical concept, for the piece of jewellery, see ring"
HIV,"Human immunodeficiency virus (HIV) is a type of virus called a retrovirus, which infects the human immune system (the system in the body which is in charge of fighting off illness).  HIV may cause AIDS (a collection of diseases and symptoms, or problems in the body) by eventually killing the white blood cells, which a healthy body uses to fight off disease."
Alkyne,"An alkyne is a molecule that has a triple bond between two carbon atoms. They have general formula CnH2n-2. They are also called acetylenes. The smallest alkyne is acetylene, also called ethyne. Alkynes are hydrophobic: this means they dissolve well in organic solvents but not in water."
Hash table,"A hash table is one type of tool for storing information. In computer science, these tools for keeping track of information, or data, are called data structures."
Elias James Corey,"Elias James ""E.J."" Corey (born July 12, 1928) is an American chemist. He won the Nobel Prize in Chemistry for his theory of organic synthesis."
Rain,"Rain is when water falls from clouds in droplets that are bigger than 0.5 mm. Droplets of water that are about 0.2mm to 0.45mm big are called drizzle. Rain is a kind of precipitation. Precipitation is any kind of water that falls from clouds in the sky, like rain, hail, sleet and snow. It is measured by a rain gauge. Rain is part of the water cycle."
Dark matter,Dark matter is a type of matter thought to be responsible for much of the mass in the universe.
Uterus,"The uterus or womb is the part of the female body in which babies grow for nine months during pregnancy. The uterus is just under the fallopian tubes, between the hips. The plural of uterus is 'uteri'."
Transistor,"A transistor is an electronic component that can be used as an amplifier, or as a switch. It is made of semiconductor material. Transistors are found in most  electronic devices."
Iron,":This article is about iron the metal. For the tool called iron, see ironing."
Chemical potential,"Chemical potential energy is the energy stored up in substances due to their chemical bonds. It is energy that is stored in chemicals. One example of how this plays a part in real life is through plants. The plants make energy with chemical potential energy by the process of photosynthesis. Other organisms eat the plants to get energy and so on. Energy is passed from one organism to another. This is how chemical potential energy works in the environment. Another common example is the energy stored in gasoline. When the car is turned on, the chemical energy in the gas is converted into mechanical energy to move the car. The law of conservation of energy says energy cannot be created or destroyed. It can only be changed from one form into another."
Birefringence,"Birefringence (or double refraction) happens when light is passed through a special material and it splits into two different rays of light. Calcite crystals and boron nitride are two good examples of materials that cause birefringence. Just as a prism splits light into a large number of colors, birefringence splits light into two images of the same color. You see this as a ""double image""."
Triton (moon),"Triton orbit & Neptune.png|thumb|right|200px|The orbit of Triton (red) is different from most moons' orbit (green) in the movement's direction, and the orbit is tilted"
Palladium,Palladium is a chemical element. It has the chemical symbol Pd. It has the atomic number 46. It is a metal. It is silver white. In chemistry it is placed in a group of metal elements named the transition metals. It is also part of the platinum group.
Solar wind,"The Solar Wind is wind from the sun. It is a stream of charged protons and electrons and plasma shot out of the Sun. The wind is shot out at hypersonic speed, so fast that it can travel the whole length of the Solar System, nearly 1 light year and create the Heliosphere. The particles are dangerous to astronauts and spacecraft. The Earth's magnetic field absorbs or soaks up a lot of the solar wind causing the aurora, the Northern lights and Southern lights."
Centromere,"The centromere is a special region of a chromosome, usually near the middle. It is where the two identical sister chromatids stay in contact as the chromosome attaches to the spindle in mitosis. The region contains specific types of DNA, which are tandem repetitive sequences (satellite DNA). These sequences bind specific proteins called ""cen""-proteins."
Pointer (computer programming),"In computer science, a pointer is a variable whose value is a location in the computer's memory. If Rick stands in a room and points to his friend Sally, then Rick is a pointer whose value is Sally's location.  A programmer must dereference the pointer to retrieve the object it points to."
Field (mathematics),"In mathematics a field is a certain kind of algebraic structure. In a field you can add (x+y), subtract (x-y), multiply (x\cdot y) and divide (x/y) two numbers (with division only allowed if y is not equal to zero). A field is a special ring, in which you can divide."
Gravitational wave,:Do not confuse with gravity wave
Phosphorus,"Phosphorus has the chemical symbol P, and its atomic number is 15. Its mass number is 30.97. It is not found in nature as an element but as compounds, such as phosphates. It can be a red or a white waxy solid."
Enrico Fermi,"Enrico Fermi (September 29, 1901 — November 28, 1954) was an Italian physicist who worked on the first nuclear reactor and helped make quantum theory. He also was important to particle physics, and statistical mechanics. Fermi won the Nobel Prize in Physics in 1938 for his work on induced radioactivity. He built the world's first nuclear reactor. Fermi was one of the greatest scientists of the 20th century."
White dwarf,"A white dwarf is a compact star. Their matter is squashed together. Gravitation has pulled the atoms close together, and stripped off their electrons. The mass of a white dwarf's mass is similar to that of the Sun, but its volume is similar to that of the Earth."
Brown dwarf,"A brown dwarf is an object which has the same make-up as a star, but is not massive enough for hydrogen fusion (the combining of hydrogen atoms into helium atoms). Nuclear fusion is what makes stars glow. Brown dwarfs are not massive enough to do this, so they are not regular stars. On the other hand, they are not regular giant planets, because they do glow."
Silver,"Silver (symbol Ag) is a chemical element. In chemistry, silver is element 47, a transition metal. It has an atomic weight of 107.86 a.m.u. Its symbol is Ag, from the Latin word for silver, argentum."
Epilepsy,"Epilepsy is a chronic condition of the brain. It is characterized by seizures that do not seem to have an obvious cause. To the outside viewer, these seizures show as  episodes of heavy shaking. Depending on the seizure, the shaking may be short and difficult to detect or it may be longer."
Histamine,"Histamine is an organic nitrogenous compound involved in local immune responses. It also regulates physiological function in the gut, and acts as a neurotransmitter.  Histamine is involved in the inflammatory response, where tissues get red, swollen and painful."
Carboxylic acid,"A carboxylic acid is any molecule that has a COOH group. This group contains a carbonyl (C=O double bond) together with an hydroxyl group (OH) on the same carbon atom. Because it is easy to remove the proton with even a weak base, these compounds are called acids. An example of a carboxylic acid is Acetic acid, which is also known as vinegar."
Lagrangian point,"A Lagrange point is a special type of place where the gravity is stable.  This is used with two objects in space where the smaller object orbits around the bigger one, like the Earth and the Sun, or the Moon and the Earth."
Luigi Galvani,"Luigi Galvani (September 9, 1737 – December 4, 1798) was an Italian physician who lived and died in Bologna (Italy). In 1771, he found out that the muscles of dead frogs twitched when hit by a spark. He was a pioneer in modern obstetrics, and discovered that muscle and nerve cells produce electricity. He is well known as the inventor of chemical cells."
Polymerization,"Polymerization is the process in which small molecules, called monomers, join chemically to produce a very large chain-like or network molecules, called a polymer. The monomer molecules may all be alike, or they may represent two, three, or more different compounds. Usually at least 100 monomer molecules must be combined to make a product that has certain unique physical properties—such as elasticity, high tensile strength, or the ability to form fibres—that differentiate polymers from substances composed of smaller and simpler molecules. Often, many thousands of monomer units are incorporated in a single molecule of a polymer. The formation of stable covalent chemical bonds between the monomers sets polymerization apart from other processes, such as crystallization, in which large numbers of molecules aggregate under the influence of weak intermolecular forces."
Diatom,"Diatoms (Greek: dia = through +  temnein = to cut: ""cut through"") are a big group of eukaryotic algae. They are one of the most common types of phytoplankton. Most diatoms are unicellular, although some form chains or simple colonies. Diatom cells are encased within a unique cell wall made of silica (SiO2). These walls, called frustules, take many forms, some quite beautiful and ornate. They usually consist of two asymmetrical sides with a split between them, which gives the group its name."
7 (number),"The number seven is a natural number that comes after six and before eight. In Roman numerals, it is VII."
Gamma-Aminobutyric acid,"GABA is gamma-Aminobutyric acid (γ-Aminobutyric acid). It is a neurotransmitter in the central nervous system of mammals. It is an inhibiting neurotransmitter. Normally, when a neuron receives an impulse, it will make the signal stronger. In the case where there is an inhibiting neurotransmitter, the cell will no longer get the impulse, and the signal as a whole will be weakened."
Luminosity,Luminosity is a measure of brightness.  Brightness is how much light is given off.
Sponge,"A sponge is a member of the phylum Porifera. It is a simple animal with many cells, but no mouth, muscles, heart or brain. It is sessile: it cannot move from place to place the way most other animals can. A sponge is an animal that grows in one spot like most plants do. Nevertheless, sponges are quite successful."
Aldehyde,An aldehyde () is an organic compound.  It contains a formyl group. A formyl group is a part of a molecule with the structure R-CHO.   It is made of a carbon double bonded to oxygen.  The oxygen is also bonded to hydrogen and an R group. A side chain is the rest of the molecule.
Robert Boyle,"Robert Boyle FRS (25 January 1627 – 31 December 1691) was a 17th century natural philosopher, chemist, physicist, inventor and founding member of the Royal Society."
Turing machine,"Turing machine is a term from computer science. A Turing machine is a system of rules, states and transitions rather than a real machine. It was first described by Alan Turing. There are two purposes of a Turing machine. Either it can be used to decide a formal language or it solves mathematical functions. Turing machines are one of the most important formal models in the study of computer science."
Hydrogenation,Hydrogenation is the process of adding hydrogen to organic compounds. It is done to alkenes.
Leukemia,"Leukemia or leukaemia is a cancer of blood and bone marrow. When a person has leukemia, the body makes too many white blood cells (leukocytes)."
Proxima Centauri,Proxima Centauri is a red dwarf star that is likely a part of the Alpha Centauri star system and is the closest star to the Sun at a distance of 
X-ray crystallography,"X-ray crystallography is a way to see the three-dimensional structure of a molecule. The electron cloud of an atom bends the X-rays slightly. This makes a ""picture"" of the molecule that can be seen on a screen. It can be used for both organic and inorganic molecules. The sample is not destroyed in the process."
Cholesterol,Cholesterol is a molecule that is found in animal cells and body fluids. Cholesterol is not found in plant sources. It is a type of lipid which is a fat or fat-like molecule.  Cholesterol is a soft waxy substance. Cholesterol is a special type of lipid that is called a steroid. Steroids are lipids that have a special chemical structure. This structure is made of four rings of carbon atoms. Cholesterol is found especially in animal fats.
Molecular orbital,"In chemistry, a molecular orbital (or MO) explains what happens to electrons when atoms join together in a molecule.  A MO is a mathematical function which describes the wave-like behaviour of an electron in a molecule. Chemists use such functions to predict or explain chemical and physical properties. For example, the functions can tell the probability of finding an electron in any specific region."
Mica,The mica group of minerals are aluminosilicates with various metals. They split into fine sheets.
T cell,"A T cell is a type of lymphocyte, a white blood cell."
Serotonin,"Serotonin is a neurotransmitter. From its chemical structure it is called 5-Hydroxytryptamine or 5-HT. It is derived from Tryptophan. Serotonin can mainly be found in the gastroinstestinal tract, platelets and central nervous system of certain animals including humans. Its name is derived from its effect on blood pressure: serotonin is a part of the serum which regulates the tonus of blood vessels. Serotonin also contributes to the feeling of well-being. For this reason it is often labeled happiness hormone, even though it is not a hormone. Serotonin is a monoamine."
Ohm's law,"Ohm's law says that in an electrical circuit, the current passing through a resistor between two points, is related to the voltage difference between the two points, and inversely related to the electrical resistance between the two points. This relation is shown in the following formula:"
Grignard reaction,Grignard reaction experiment 07.jpg|thumb|right|A solution of a carbonyl compound is added to a Grignard reagent. (See gallery below)
Phloem,"In vascular plants, phloem is the living tissue made up of small tubes which carry watery sap containing sugar and other organic nutrients to all parts of the plant where the nutrients are used for growth, or stored until needed. The sugar is made by photosynthesis. In trees, the phloem is the innermost layer of the bark, therefore the name, that comes from the Greek word φλοιος (phloios) for ""bark""."
Alkaloid,"Alkaloids are chemical compounds that can be made naturally. They contain basic nitrogen atoms. The name comes from the word alkaline and was used to describe any alkaline containing nitrogen. Alkaloids are made by a large variety of organisms, such as bacteria, fungi, plants, and animals and are part of the group of natural products (also called secondary metabolites). Many alkaloids can be purified from basic substances by acid-base extraction. Many alkaloids are toxic to other organisms. Some alkaloids have a bitter taste."
Copper,"Copper is a chemical element. It is the 29th element in the periodic table and has 29 protons. Its mass number is 63.55. It is a transition metal in the middle of the periodic table. The symbol for copper is ""Cu"", which comes from the Latin word cuprum, which, in turn, came from the Latin word for the island of Cyprus, where copper was found."
Mitochondrion,"Mitochondria  are organelles, or parts of a cell. They make most of the cell's supply of adenosine triphosphate (ATP), a molecule that cells use as a source of energy."
Aromaticity,"An aromatic hydrocarbon, or arene, is a hydrocarbon ring compound. It has alternating double and single bonds between carbon atoms forming rings. Many of the compounds have a sweet scent, hence the term 'aromatic'. The ring of six carbon atoms in aromatic compounds is known as a benzene ring, after the simplest possible hydrocarbon ring, benzene. Aromatic hydrocarbons can be monocyclic (MAH) or polycyclic (PAH)."
Kuiper belt,The Kuiper belt is an area of the Solar System beyond the orbit of Neptune (at 30 Astronomical units) to 50 AU from the Sun.
Histone,"Histones are proteins found in eukaryotic cell nuclei, which package the DNA into structural units called nucleosomes. They are the chief protein components of chromatin, the active component of chromosomes."
Alkene,"In organic chemistry, an alkene, olefin, or olefine is an unsaturated chemical compound containing at least one carbon-to-carbon double bond.  The simplest alkenes, with only one double bond, no rings, and no other functional groups, are hydrocarbons with the general formula CnH2n."
Permafrost,"In geology, permafrost is soil that stays at or below  for two or more years. It is also called cryotic soil.  Most permafrost is on land close to the North and South poles."
Density,"Density is a measurement that compares the amount, ratio, of matter an object has to its volume. An object with a lot of matter in a certain amount of volume has high density. An object with a little matter in the same amount of volume has a low density."
Catalysis,"Catalysis is the change in speed (rate) of a chemical reaction due to the help of a catalyst. Unlike other chemicals which take part in the reaction, a catalyst is not consumed by the reaction itself. A catalyst may participate in many chemical reactions. Catalysts that speed the reaction are called positive catalysts. Catalysts that slow the reaction are called negative catalysts, or inhibitors. Substances that increase the activity of catalysts are called promoters, and substances that deactivate catalysts are called catalytic poisons."
Superfluidity,Superfluidity is a very special state of matter where a liquid can act very strangely.
Robert Bunsen,"Robert Wilhelm Eberhard Bunsen (31 March 1811 – 16 August 1899) was a German chemist. He improved the burner that has his name, but which was actually invented by Michael Faraday."
Bubble sort,Bubble sort is a simple sorting algorithm. It is very simple for understanding and realization; therefore it is considered as a training algorithm. In real applications it is not used since it is not efficient.
Apoptosis,"Apoptosis is the controlled death of a cell. It plays an integral part of tissue development.  During limb development in a foetus, apoptosis allows body digits (fingers and toes) to separate from each other. The process is most prevalent until puberty begins. The rate of apoptosis should be balanced by the rate of cell production via mitosis."
Second law of thermodynamics,"The second law of thermodynamics states that whenever energy is transformed from one form to another form, entropy increases  and energy decreases. In other words: over time, differences in temperature, pressure, and density tend to even out in a horizontal plane, but not in a vertical plane due to the force of gravity.  For example, density and pressure do not even out in a vertical plane, and nor does temperature because gravity acts on individual molecules, and this means molecular kinetic energy interchanges with gravitational potential energy in free path motion between collisions."
Carboniferous,The Carboniferous was the geological period after the Devonian and before the Permian. It lasted from about 359 to about 299 million years ago.
Poisson distribution,The Poisson distribution is a probability distribution. It is named after Siméon Denis Poisson who discovered it in 1838. It measures the probability that a certain number of events occur within a certain period of time. The events need to be unrelated to each other. They also need to occur with a known average rate.
John von Neumann,John von Neumann (December 28. 1903 – February 8. 1957) was a Hungarian-American mathematician and physicist who made contributions to many fields including:
Lysosome,"A lysosome is a cell organelle. They are like spheres. They have hydrolytic enzymes which can break down almost all kinds of biomolecules, including proteins, nucleic acids, carbohydrates, lipids, and cellular debris. They contain more than 50 different enzymes."
Moon,{{Infobox Planet
Auxin,Auxins are a class of plant hormones (or plant growth substances) with some morphogen-like characteristics. Auxins have a main role in coordination of many growth and behavioral processes in the plant's life cycle. they are essential for plant body development.
Ketone,A ketone is an organic compound that has a carbon atom with a double bond to an oxygen atom (this is called carbonyl functional group). This carbon atom must also have single bonds to two other carbon atoms.
Hippocampus,":For the small fish, go to seahorse"
Bear,"Bears are a group of large mammals. They form the family Ursidae, in the suborder Caniformia of the order Carnivora. There are 9 living bear species."
Iridium,Iridium is the 77th element on the periodic table.  Its symbol is Ir. Ir's atomic number(the amount of protons) is 77.
Squaring the circle,"Squaring the circle is a problem of geometry. The problem is to construct a square that has the same area as the unit circle, only by using a compass and straightedge construction method. Some people also call this problem the quadrature of the circle."
Polymerase chain reaction,"Polymerase chain reaction (PCR) is a way to make many copies of a sequence of DNA. This is done in a lab, using an enzyme called DNA polymerase. It is called chain reaction because the result of one cycle is used immediately for the next cycle. This allows exponential growth to happen."
Reflection (physics),"Reflection is the change in direction of a wave at a boundary between two different media, so that the wave moves back into the medium it came from."
Ester,An ester is a carbonyl with an ether group on the carbon atom. The group can be written as COOR. They can be made by reacting a carboxylic acid with an alcohol with some acid.
Vasopressin,"Vasopressin (ADH, AVP) is the hormone which controls the production of urine in the bladder. It is secreted by the pituitary gland based on the salt concentration of the blood. It is negative feedback: the more concentrated the salt in the blood is, the more vasopressin is secreted, which in turn makes the kidney tubules more permeable, allowing more water to be reabsorbed into the blood and creating less, but more concentrated, urine. It also triggers feelings of thirst."
Hemoglobin,"Hemoglobin (also spelled haemoglobin) is a protein in the blood which contains iron and is used to transport oxygen around the human body. Hemoglobin is found in the red blood cells of all vertebrates apart from white-blooded fish. Because hemoglobin is red, red blood cells are red. There are millions of hemoglobin molecules in each red blood cell and millions of red blood cells in the human body."
Cosmic ray,"Cosmic rays are very high-energy radiation, mostly from outside the Solar System."
Feldspar,Feldspar is the name of a group of rock-forming minerals that make up as much as 60% of the Earth's crust.
Lichen,"Lichens are a symbiosis of at least two quite different organisms. The partnership always involves a fungus, which lives with one or more partners which can do photosynthesis. The photobiont partner may be a green alga and/or a cyanobacterium.p5,6,13"
Hysteresis,Hysteresis is a concept in physical science.
Aquifer,An aquifer is an underground  layer where the material contains water.
RNA splicing,"RNA splicing is a stage in gene transcription. Messenger RNA (mRNA), which transfers the code from DNA to proteins, is built in two stages."
Desert,"A desert is a dry biome. It gets less than 25 cm (about 9.8 inches) of rainfall a year. Another source defines it as ""any region that can have a moisture deficit over the course of a year. In other words, they can have less rainfall in a year than they give up through evaporation""."
Steel,"Steel is a mixture of several metals (this is called an alloy) but most of it is iron. Steel is harder and stronger than iron. Steels are often iron alloys with between 0.02% and 1.7% percent carbon by weight. Alloys with more carbon than this are known as cast iron. Steel is different from wrought iron, that has little or no carbon. There are some newer steels in which carbon is replaced with other alloying materials."
Jupiter,"Jupiter is the largest planet in the Solar System. It is the fifth planet from the Sun. Jupiter is classified as a gas giant, both because it is so large and due to the fact that it is made up mostly of gas. The other gas giants are Saturn, Uranus, and Neptune."
Water,"Water is the most common liquid on Earth. It covers about 71.4% of the Earth. Pure water has no smell, taste, or color. Lakes, oceans, and rivers are made of water. Rain is water that falls from clouds in the sky. If water gets very cold (below 0 degrees Celsius), it freezes and becomes ice. Frozen rain is hail. Snow is formed from water vapour, not rain. If water gets very hot (above 100 degrees Celsius), it boils and becomes steam. Water is very important for life. However, some studies suggest that by 2025 more than half of the people around the world will not have enough water."
Earth,"Earth is the planet we live on. It is the third planet from the Sun. It is the only planet known to have life on it. The Earth formed around 4.5 billion years ago. It is one of four rocky planets on the inside of the Solar System. The other three are Mercury, Venus, and Mars."
Diene,"In organic chemistry, a diene ( ) or diolefin ( ) is a hydrocarbon that contains two carbon pi bonds. "
Nuclear force,"Nuclear force is the force between nucleons. It is the force that pulls protons and neutrons into atoms. It is very hard to break the bond, or tie, between protons and neutrons in an atom, because nuclear force holds them together. When the bond is broken, this is called nuclear fission."
Angular momentum,The angular momentum (L) of an object rotating about an axis is the product of its moment of inertia and its angular velocity:
Mercury (planet),"Mercury is the smallest planet in the Solar System. It is the closest planet to the sun. It makes one trip around the Sun once every 87.969 days. Mercury is bright when it is visible from Earth, ranging from −2.0 to 5.5 in apparent magnitude. It cannot be easily seen as it is usually too close to the Sun. Because Mercury is normally lost in the glare of the Sun (except during a solar eclipse), Mercury can only be seen in the morning or evening twilight."
Temperature,"Temperature is how hot or cold a thing is. Our bodies can feel the difference between something which is hot and something which is cold. To measure temperature more accurately, a thermometer can be used. Thermometers use a temperature scale to record how hot or cold something is. The scale most often used is in degrees Celsius (°C), sometimes called centigrade. In the USA, degrees Fahrenheit (°F) are more often used while scientists mostly use kelvins (K) to measure temperature because it never goes below zero."
Cretaceous,White cliffs of dover 09 2004.jpg|thumb|250px|White cliffs of Dover
Homo erectus,"Homo erectus (Latin: ""upright man"") is an extinct species of the genus Homo. Fossil remains were found in Java (1890s) and in China (1921). Nearly all of them were lost during World War II, but there are casts that are considered to be reliable evidence."
Chlorine,"Chlorine (chemical symbol Cl) is a chemical element. Its atomic number (which is the number of protons in it) is 17, and its atomic mass is 35.45. It is part of the 7th column (halogens) on the periodic table of elements."
Heart,"The heart is a muscle found in every animal that has a vertebral column. It is a very strong muscle that is about the size of a fist. It pumps blood throughout the body. It has regular contractions, or when the heart squeezes the blood out into other parts of the body."
Polynomial,"When you see letters mixed with numbers and arithmetic, like x2+2x-7, there is a good chance that it is a polynomial. Mathematicians, scientists, and engineers use polynomials to solve problems. Polynomials are taught in algebra, which is a gateway course to all technical subjects."
Church-Turing thesis,"The Church-Turing thesis (also known as Church's thesis, Church's conjecture and Turing's thesis) is a statement about computers. It says that a very simple kind of computer now named a “Turing machine” is able to compute all computable functions. The Church-Turing thesis is linked to Gödel's incompleteness theorems. "
Sunspot,"A sunspot is an area of high magnetic activity, on the surface of the Sun. Sunspots produce bright light, but not as much as the surface around them, so they appear dark by comparison. They are cooler than the rest of the sun. Some are small, and some are ten times bigger than Earth."
Iodine,"Iodine is a chemical element. Its atomic number (which is the number of protons in it) is 53, and its atomic mass (the number of protons plus neutrons) is 127. It is part of the Group 7 (halogens) on the periodic table of elements and its electronic configuration is 2,8,18,18,7. It is a nonmetal."
Pancreas,"The pancreas is an organ that makes hormones and enzymes to help digestion. The pancreas helps break down carbohydrates, fats, and proteins. The pancreas is behind the stomach and is on the left side of the human body."
Countable set,"If you can count the things in a set, it is called a countable set. A set with one thing in it is countable, and so is a set with one hundred things in it. A set with all the natural numbers (counting numbers) in it is countable too.  It's infinite but if someone counted forever they wouldn't miss any of the numbers.  Sometimes when people say 'countable set' they mean countable and infinite.  Georg Cantor coined the term."
E (mathematical constant),"e is a number, about 2.71828. It is a mathematical constant. e also has other names, like Euler's number (because of the Swiss mathematician Leonhard Euler), or Napier's constant (because of the Scottish mathematician John Napier). It is an important number in mathematics, like π and i. It is an irrational number, which means it is impossible to write as a fraction with two integers; but some numbers, like 2.71828182845904523536, come close to the true value. The true value of e is a number that never ends. Euler himself gave the first 23 digits of e."
Linear function,"In basic mathematics, a linear function is a function whose graph is a straight line in 2-dimensions (see images).  An example is: y=2x&ndash;1. In higher mathematics, a linear function often refers to a linear mapping."
Scattering,"When radiation hits something it may be sent off in many directions.  This is scattering and is distinct from absorption, reflection, and refraction.  Kinds of scattering include:"
Yellowstone National Park,"Yellowstone National Park is a national park in the United States. It was the known as the first national park in the world. It was created on March 1, 1872 when United States President Ulysses S. Grant signed a law to create it. The name was taken from the Yellowstone River, which flows through the park. Yellowstone was made a UNESCO World Heritage Site in 1978."
Planck constant,"The Planck constant (sometimes called Planck's constant), links  the amount of energy a photon carries with the frequency of its electromagnetic wave. It is named after the physicist Max Planck.  It is an important quantity in quantum physics."
ATP synthase,"ATP synthase is an enzyme found in cells that make ATP from ADP and inorganic phosphate. The ATP synthase is powered by the difference of concentration of pH between inside and outside the place where the enzyme is located. The exact mechanism in which it does so is unknown, although it is believed to work like a rotating machine."
Antibody,Antibodies (also called immunoglobulins) are large Y-shaped proteins. They are found in the blood or other body fluids of vertebrates. Antibodies are the key element in the adaptive immune system.
Pituitary gland,The pituitary gland is at the base of the brain between the eyes. It is an important part of the endocrine system. The gland is attached to the hypothalamus and gives out hormones. It controls a whole range of vital functions.
Taiga,"The taiga (IPA pronunciation: /'taɪgə/ or /taɪ 'ga/, from Mongolian) is a large area of coniferous forests. It covers most of inland Alaska, Canada, Sweden, Finland, inland Norway, northern Kazakhstan and Russia (especially Siberia), as well as parts of the extreme northern continental United States."
RNA polymerase,RNA polymerase (RNAP) is the enzyme which does transcription.The 2006 Nobel Prize in Chemistry was awarded to Roger D. Kornberg for creating detailed molecular images of RNA polymerase during various stages of the transcription process.
Superconductivity,A superconductor is a special type of material that conducts electricity without resistance. That means that electrons (tiny particles with negative charge) can flow very easily through the material. This can be achieved only at very low temperatures. The critical temperature at which a material becomes superconducting varies from material to material. Most materials are not superconductors.
Van der Waals force,"In chemistry, van der Waals' forces is a type of intermolecular force. An intermolecular force is a relatively weak force that holds molecules together, and van der Waals' forces are the weakest type of intermolecular force. They are named after the Dutch scientist Johannes Diderik van der Waals (1837-1923)."
John Bardeen,John Bardeen (23 May 1908 – 30 January 1991) was an American physicist and electrical engineer. He is the only person to win two Nobel Prizes in Physics.
Cycloaddition,"A cycloaddition is a chemical reaction between reactants with double bonds that get replaced by a ring structure.  It is a pericyclic chemical reaction where ""two or more unsaturated molecules (or parts of the same molecule) combine with the formation of a cyclic adduct in which there is a net reduction of the bond multiplicity."" It is a cyclization reaction: it makes new ring of atoms."
Transcendental number,A real or complex number is called a transcendental number if it cannot be found as a result of an algebraic equation with integer coefficients.
Sun,":For the newspaper, see The Sun (newspaper)"
Edmond Halley,"Edmond Halley FRS (8 November 1656 – 14 January 1742) was an English astronomer, the second Astronomer Royal."
Laser,"A laser is a machine that makes an amplified, single-colour source of light. The beam of light from the laser does not get wider or weaker as most sources of light do.  It uses special gases or crystals to make the light with only a single color.  Then mirrors are used to amplify (make stronger) that colour of light and to make all the light travel in one direction, so it stays as a narrow beam, sometimes called a collimated beam. When pointed at something, this narrow beam makes a single point of light.  All of the energy of the light stays in that one narrow beam instead of spreading out like a flashlight (electric torch)."
Quark,"A quark is a tiny particle which makes up protons and neutrons. Atoms are made of neutrons, protons, and electrons. It was once thought that neutrons, protons and electrons were fundamental particles. Fundamental particles cannot be broken up into anything smaller. After the invention of the particle accelerator, it was discovered that electrons are fundamental particles, but neutrons and protons are not. Neutrons and protons are made up of quarks, which are held together by gluons."
Keratin,"Keratins are a family of fibrous proteins. Keratin is what makes up hair in animals, as well as horns, nails, hooves, shells, beaks, and feathers. The name comes from Greek word keras meaning ""horn""."
Manganese,"Manganese is chemical element 25 on the periodic table. Its symbol is Mn. (Some people get it confused with magnesium, the symbol is Mg). It has 25 protons. Its mass number is 54.94."
Gold,"Gold is a soft, heavy, shiny metal. It has been used for many thousands of years by people all over the world, for jewelry, decoration, and as money. Gold is important because it is rare, but also easier to use than other rare metals. It is also used to repair teeth and in electronic equipment such as computers. The color of this metal is also called gold."
Basis (linear algebra),"In linear algebra, a basis is a set of vectors in a given vector space with certain properties:"
Bilirubin,Bilirubin is a product that comes from the breakdown of haemoglobin. Its levels are higher in certain diseases and it causes the yellow color of bruises and the brown color of faeces. Its level usually measured to monitor liver or gallbladder problems.
Roche limit,"The Roche limit (), sometimes referred to as the Roche radius, is the distance within which a celestial body, held together only by its own gravity, will disintegrate due to a second celestial body's tidal forces exceeding the first body's gravitational self-attraction. Inside the Roche limit, orbiting material will tend to disperse and form planetary rings, while outside the limit, material will tend to coalesce. The term is named after Édouard Roche, the French astronomer who first calculated this theoretical limit in 1848."
Voting,"Voting is when a group of people decide something by saying what they want. It can be for electing a leader or representative, passing a law, and other things. When people are done voting, the votes are counted (often by machines) and the side that gets the most votes wins."
Hydrochloric acid,"Hydrochloric acid is a chemical compound. It is a solution of hydrogen chloride (HCl) gas that is dissolved in water. It used to be called muriatic acid. It is widely used in industry, and it is also made by the stomach to help digest food. Hydrochloric acid, like all acids, react with bases to produce salts (chlorides)."
Medulla oblongata,"The medulla oblongata is the lower, or rear, half of the brainstem. It is often referred to as simply the medulla. It is just in front (or on top) of the spinal cord."
Capacitor,"A capacitor (also called condenser, which is the older term) is an electronic device that stores electric energy. It is similar to a battery, but is smaller, lightweight and charges up much quicker.  Capacitors are used in many electronic devices today, and can be made out of many different types of material. The Leyden jar was one of the first capacitors invented."
Magnetic flux,"Magnetic flux (most often denoted as Φm), is the number of magnetic field lines (also called ""magnetic flux density"") passing through a closed surface (such as a conducting coil). The SI unit of magnetic flux is the weber (Wb) (in derived units: volt-seconds). The CGS unit is the maxwell. For example, it is used by electrical engineers trying to design systems with electromagnets or designing dynamos.  Physicists designing particle accelerators also calculate it."
Red Queen hypothesis,"The Red Queen is the name of an evolutionary theory of Leigh Van Valen and, later, a book by Matt Ridley."
Mutation,"In biology, a mutation is a change in the genetic material. This means changes to the DNA or to the chromosomes which carry the DNA. All such changes are heritable (can be passed on to the next generation) unless they have lethal effects."
